Name,PuntV,LeagV,Punt+,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g
Jae'Sean Tate,-0.739707258,-0.605524439,-0.134182819,HOU,SF/PF,31,21.85376344,9.129032258,0.419354839,3.806451613,2.709677419,0.677419355,0.225806452,0.480349345,7.387096774,0.724637681,2.225806452,1.516129032
Damion Lee,-0.809876666,-0.605609031,-0.204267635,PHO,SG/SF,74,20.3527027,8.162162162,1.486486486,3.040540541,1.337837838,0.405405405,0.094594595,0.442477876,6.108108108,0.903846154,1.405405405,1.054054054
Talen Horton-Tucker,-0.678652525,-0.608184451,-0.070468074,UTA,SG/SF,65,20.20333333,10.73846154,0.892307692,3.230769231,3.784615385,0.630769231,0.446153846,0.419249592,9.430769231,0.75,2.584615385,1.938461538
Mike Muscala,-0.923018612,-0.613305105,-0.309713507,BOS,C,63,14.9989418,6.079365079,1.285714286,3.222222222,0.793650794,0.238095238,0.380952381,0.448630137,4.634920635,0.769230769,0.825396825,0.365079365
Jordan Nwora,-0.817908751,-0.614158961,-0.203749789,IND,SF/PF,62,19.16182796,8.741935484,1.387096774,3.693548387,1.419354839,0.387096774,0.225806452,0.435955056,7.177419355,0.790697674,1.387096774,1.064516129
Terence Davis,-0.859108774,-0.618915421,-0.240193353,SAC,SG/SF,64,13.13958333,6.734375,1.390625,2.171875,1.046875,0.671875,0.1875,0.423076923,5.6875,0.790697674,0.671875,0.828125
Jamal Cain,-0.934370187,-0.619115994,-0.315254193,MIA,SF,18,13.33518519,5.444444444,0.388888889,2.888888889,0.666666667,0.611111111,0.055555556,0.560606061,3.666666667,0.772727273,1.222222222,0.333333333
Ish Wainright,-0.932532988,-0.621976298,-0.31055669,PHO,PF,60,15.25083333,4.183333333,0.95,2.316666667,0.883333333,0.633333333,0.366666667,0.370044053,3.783333333,0.838709677,0.516666667,0.366666667
Yuta Watanabe,-0.932139371,-0.623330799,-0.308808573,BKN,SF/PF,58,15.99683908,5.551724138,1.034482759,2.431034483,0.827586207,0.431034483,0.293103448,0.49137931,4,0.723404255,0.810344828,0.379310345
Willy Hernangomez,-0.830154176,-0.623633484,-0.206520691,NOR,C,37,12.36936937,7.081081081,0.081081081,4.864864865,0.891891892,0.459459459,0.351351351,0.526627219,4.567567568,0.778846154,2.810810811,1.054054054
Hamidou Diallo,-0.801345279,-0.626846468,-0.174498811,DET,SG/SF,56,17.78333333,9.321428571,0.089285714,3.464285714,0.982142857,0.946428571,0.285714286,0.573333333,6.696428571,0.587837838,2.642857143,1.267857143
Jordan McLaughlin,-0.881473114,-0.63061468,-0.250858434,MIN,PG,43,15.77868217,3.744186047,0.558139535,1.441860465,3.441860465,0.744186047,0.093023256,0.420689655,3.372093023,0.833333333,0.418604651,0.76744186
Cedi Osman,-0.89571934,-0.630860494,-0.264858846,CLE,SG/SF,77,20.10865801,8.688311688,1.506493506,2.285714286,1.493506494,0.454545455,0.142857143,0.450943396,6.883116883,0.694444444,1.402597403,0.675324675
Shake Milton,-0.811651128,-0.631826361,-0.179824767,PHI,PG/SG,76,20.62214912,8.381578947,0.736842105,2.513157895,3.157894737,0.328947368,0.171052632,0.479125249,6.618421053,0.853448276,1.526315789,1.236842105
Malaki Branham,-0.825471603,-0.632609061,-0.192862542,SAS,SG/SF,66,23.47828283,10.1969697,1.166666667,2.742424242,1.924242424,0.5,0.106060606,0.440261866,9.257575758,0.828571429,1.060606061,1.151515152
Dominick Barlow,-0.929224951,-0.641823626,-0.287401325,SAS,SF/PF,28,14.55595238,3.928571429,0,3.642857143,0.857142857,0.357142857,0.678571429,0.534883721,3.071428571,0.72,0.892857143,0.535714286
Wenyen Gabriel,-0.908827496,-0.642666659,-0.266160837,LAL,PF/C,68,15.05514706,5.470588235,0.147058824,4.205882353,0.529411765,0.382352941,0.514705882,0.596153846,3.823529412,0.619047619,1.235294118,0.676470588
Usman Garuba,-0.917009116,-0.643225586,-0.273783529,HOU,PF/C,75,12.93222222,3,0.32,4.093333333,0.853333333,0.586666667,0.386666667,0.485875706,2.36,0.617021277,0.626666667,0.626666667
